Language ID,Language Name
1,Afrikaans
2,Albanian
3,Amharic
4,Arabic
5,Armenian
6,Azerbaijani
7,Bahasa Melayu
8,Baluchi
9,Belarusian
10,Bengali
11,Bulgarian
12,Catalan
13,Croatian
14,Czech
15,Danish
16,Dutch
17,English
18,Finnish
19,French
20,German
21,Greek
22,Gujarati
23,Hindi
24,Hungarian
25,Italian
26,Kannada
27,Kazakh
28,Kyrgyz
29,Latvian
30,Lithuanian
31,Malayalam
32,Mandarin
33,Memon
34,Norwegian
35,Other
36,Pashto
37,Persian/Farsi
38,Polish
39,Portuguese
40,Punjabi
41,Romanian
42,Russian
43,Serbian
44,Shona
45,Sindhi
46,Sinhalese
47,Spanish
48,Swedish
49,Tagalog
50,Tamil
51,Telugu
52,Thai
53,Turkish
54,Ukranian
55,Urdu
56,Uzbek
57,nan
