Reference,Property Type,Ad Type,Bedrooms,Bathrooms,Area (sqft),Details,Service Type,Address,Price (AED),DLD Permit Number,Agent ID
insight-4993939,Apartment,VERIFIED,1,1,843,WITH BALCONY | 1B/R | SKYCOURT | POOL VIEW,PREMIUM,"Skycourts Tower F, Skycourts Towers, Dubai Land, Dubai",380000,7129145200.0,2f2d1393-2c25-40fa-9cf7-f5b0801f0075
WIL-S-5498,Villa,VERIFIED,2,2,2967,2 BEDROOM | EXTENDED & UPGRADED | CORNER PLOT,PREMIUM,"Mediterranean Villas, Jumeirah Village Triangle, Dubai",3300000,6511933600.0,ca212376-24d4-42ff-a81b-8d9c2933ac0c
luxehomes-4946277,Apartment,VERIFIED,2,3,1709,2-Bedroom + Study | Vacant | Palm Sea View,PREMIUM,"Oceana Atlantic, Oceana, Palm Jumeirah, Dubai",5500000,7125917200.0,ebee2af7-7b22-4d11-9746-8e15411f5ff6
PB-S-1641,Townhouse,VERIFIED,3,4,2235,3 Bed Type 1 | Single Row | Large Plot | Rented,PREMIUM,"Hayat Townhouses, Town Square, Dubai",2000000,6919432855.0,22be22d1-1ee6-4eb6-a6b0-603f07356406
eandt-4966526,Villa,VERIFIED,4,4,2445,Serene desert view | Single Row | Bright,PREMIUM,"Sun, Arabian Ranches 3, Dubai",3000000,69248770666.0,97f12ec3-dc4a-4a74-95c5-f489361cefcf
ET-S-9918,Villa,VERIFIED,6,7,5395,New villa | Type 4 | Single Row | Vastu,PREMIUM,"Aseel, Arabian Ranches, Dubai",8000000,6514518776.0,97f12ec3-dc4a-4a74-95c5-f489361cefcf
luxehomes-4858917,Apartment,VERIFIED,1,1,470,Vacant | High Floor | Canal View,PREMIUM,"Reva Residences, Business Bay, Dubai",975000,71157158422.0,d6b81482-57d5-4b10-b3eb-1268ef59931e
BHM-S-567863,Apartment,VERIFIED,3,4,1783,Vacant and upgraded apartment with Burj view,PREMIUM,"Burj Vista 1, Burj Vista, Downtown Dubai, Dubai",6500000,7117731180.0,607863d6-4e51-4b66-bc8b-92165a9fdf03
L-194978,Apartment,VERIFIED,2,2,1148,Brand New | Two Bedrooms | Park Facing,PREMIUM,"Harbour Gate Tower 1, Harbour Gate, Dubai Creek Harbour (The Lagoons), Dubai",2300000,7140474423.0,041625b6-8b1e-4494-8c33-f1672cd87355
LIG - 00022,Apartment,VERIFIED,2,2,1230,Vacant | Amazing Skyline Views | High Floor,PREMIUM,"Sunrise Bay, EMAAR Beachfront, Dubai Harbour, Dubai",4900000,71164304502.0,e1950380-57d0-4d24-bac3-48f92af21e41
luxehomes-3751316,Apartment,VERIFIED,1,1,747,1-Bedroom | Pool View | Handover 2025,PREMIUM,"Al Jazi, Madinat Jumeirah Living, Umm Suqeim, Dubai",1850000,71420967470.0,dc4a00d8-91e4-4ee6-a18a-2457e310cc0a
jadeandco-4928037,Villa,VERIFIED,4,4,3523,Exclusive | Large Green Belt | Best Location,PREMIUM,"Sidra Villas III, Sidra Villas, Dubai Hills Estate, Dubai",7800000,65102648620.0,9c5777cd-81d6-47a6-8d0e-d20f831ae88c
PB-S-1747,Apartment,VERIFIED,2,2,928,Full Park View | Well Maintained | Open Layout |,PREMIUM,"Rawda Apartments 1, Rawda Apartments, Town Square, Dubai",1000000,7193166032.0,22be22d1-1ee6-4eb6-a6b0-603f07356406
RL33139,Apartment,VERIFIED,2,1,724,Sunset View | High Floor | 7% Yield | Best Deal,PREMIUM,"Collective, Dubai Hills Estate, Dubai",1450000,71189018911.0,d7826e6c-41d3-4e96-bd91-e274ff3ebe07
luxehomes-4762750,Apartment,VERIFIED,1,2,673,Motivated Seller | Low-Floor | Handover 2023,PREMIUM,"Aykon City Tower B, Aykon City, Business Bay, Dubai",1450000,7128110224.0,d6b81482-57d5-4b10-b3eb-1268ef59931e
CAR-S-0074,Townhouse,VERIFIED,4,5,2784,Brand New 4 BR + Maids | Corner | Elevator,PREMIUM,"Artistic Villas, Jumeirah Village Circle, Dubai",2950000,6921186166.0,3c5329bd-04ea-4a7b-b4f9-f627f58d0967
SUP153414,Apartment,VERIFIED,1,2,1042,"1 Bed | Study | Address View | 1,042 SqFt",PREMIUM,"Tajer Residences, The Old Town Island, Old Town, Dubai",2000000,7118799400.0,a4b58126-ef0a-4ce9-81aa-ec0da65fc537
scr-5024988,Apartment,VERIFIED,3,4,2077,Bigger Layout| Prime Location | High Floor,PREMIUM,"Riah Towers, Culture Village, Dubai",2100000,7124257958.0,2a29ed8c-0029-4eb0-a831-a223cbbe3101
L-198056,Apartment,VERIFIED,3,4,2045,Sea View | 3 Bedrooms Plus Maid | Luxury,PREMIUM,"Apartment Building 7, Bluewaters Residences, Bluewaters, Dubai",12500000,7148982612.0,59daa055-33e7-4ab3-a3e4-fcd210b06996
PF-May-Eighteen-AS-65188,Hotel & Hotel Apartment,VERIFIED,Studio,1,606,Hotel Room I Best Priced I 8% NET ROI,PREMIUM,"FIVE Palm Jumeirah, Palm Jumeirah, Dubai",1550000,,0bc534e0-5786-4d7b-ad83-7a7d76823618
ES-1003479,Villa,VERIFIED,5,5,5833,Cheapest B Type | Golf Course Views,PREMIUM,"Oliva, Victory Heights, Dubai Sports City, Dubai",8000000,6512654700.0,332005ea-f006-428b-bdfe-5f78171e8199
ET-S-9656,Villa,VERIFIED,5,6,6550,5 beds | Private pool | Modern design,PREMIUM,"Family Villas, Green Community West, Green Community, Dubai",5400000,6968197990.0,f1af52e6-d07d-42e0-9f3b-978b04419a18
RL-49796,Villa,VERIFIED,3,3,2258,CLOSE TO POOLS | POTENTIAL TO BE VACANT,PREMIUM,"Springs 11, The Springs, Dubai",3250000,6914350900.0,ac2c6a57-826d-47c7-9e5f-ba89f31608d3
CAR-S-0075,Villa,VERIFIED,6,7,8073,Luxurious | Custom-built 6BR Villa | Exclusive,PREMIUM,"Jumeirah Park Homes, Jumeirah Park, Dubai",16000000,65342813385.0,3c5329bd-04ea-4a7b-b4f9-f627f58d0967
ESL-12600,Apartment,VERIFIED,2,3,2229,Immaculate | 2 Bedrooms | Owner Occupied,PREMIUM,"FIVE Palm Jumeirah, Palm Jumeirah, Dubai",4999995,7117819283.0,b1e9573a-ad69-400f-b30b-a7b412e481e8
BHM-S-121620,Apartment,VERIFIED,4,5,4279,One of a kind apartment in the clouds,PREMIUM,"Burj Khalifa, Burj Khalifa Area, Downtown Dubai, Dubai",19000000,7122129000.0,607863d6-4e51-4b66-bc8b-92165a9fdf03
RL-50399,Villa,VERIFIED,3,4,2773,Single Row | Near Amenities | Big Garden,PREMIUM,"Golf Links, EMAAR South, Dubai South (Dubai World Central), Dubai",3300000,6589210254.0,ee12a58a-9b62-45b7-bcef-260756d342de
WIL-S-6613,Villa,VERIFIED,5,5,4099,VACANT ON TRANSFER | PARK BACKING | TYPE 14,PREMIUM,"Meadows 6, Meadows, Dubai",7650000,6597148000.0,66a73d14-9a11-4925-a2b4-552120535af6
TREO-S-20498,Apartment,VERIFIED,2,2,1240,Pool ViewI Large Corner Unit I Furnished,PREMIUM,"Pinnacle, Dubai Hills Estate, Dubai",2350000,71381046458.0,42e93441-a491-4dbe-a733-b5ab772ff8eb
TREO-S-18184,Villa,VERIFIED,4,5,6039,Vacant Now | Custom Built | Swimming Pool,PREMIUM,"Jumeirah Park Homes, Jumeirah Park, Dubai",5600000,6513740500.0,29c5c198-a909-4d65-84e1-8ad94b5f3f98
WIL-S-5966,Apartment,VERIFIED,2,2,1451,FULL LAKE VIEW | 2 BEDROOM | VACANT SOON,PREMIUM,"Mosela Waterside Residences, Mosela, The Views, Dubai",2350000,7127201600.0,2b29ecff-9334-4bf5-ad99-05301dffce90
PF-AS-83750,Apartment,VERIFIED,3,3,3264,Private Pool I Sensoria | Payment Plan,PREMIUM,"sensoria at Five Luxe, Jumeirah Beach Residence, Dubai",17500000,71459215796.0,9bfde4a4-8d7f-409f-bf45-b0a6c41b4a74
