Agent ID,Agent Name,Agent Type,Total Properties_x,Spoken Languages by Agent,Agent BRN,Company ID,Designation,Total Properties_y
e6788367-055b-4ffb-9d11-aad22c066eea,Kunal Kumar Mohan Balani,SUPERAGENT,33,"['English', 'Hindi', 'Urdu']",26969,0e5ecfa1-561c-436b-b081-7e059591d53c,Managing Director,33
69e6d3cf-a4fd-4996-afca-bb5fa282f2bd,Mark McCabe,SUPERAGENT,180,['English'],54469,744697e6-9519-489f-b6fe-05f8929e10da,Senior Sales Consultant,180
f421fc9c-28a9-4d58-b1e4-5d54cdb9e8b5,Magomedsaid Gaziev,SUPERAGENT,197,"['English', 'Russian']",56956,208c2ceb-a045-4731-b002-37a04a10fe64,Sales and Leasing Consultant,197
9e4ecdc5-d30c-4392-82b6-0ae4b3ef497b,Lewis Chambers,SUPERAGENT,285,['English'],54355,a2d1326b-947b-4fe0-bda7-f9e8d58def0b,Senior Sales Broker,285
9fbb4d3b-59f1-4e8b-8335-3d03d753b28a,Bogdan Bondar,SUPERAGENT,309,"['English', 'Romanian']",55682,a1014eec-dc0e-4c56-a8df-48be312681ef,Sales and Leasing Consultant,309
955e6a5b-37fe-4a7f-ba43-d2ed5e80550f,Mohammad Al Hareef,SUPERAGENT,197,"['English', 'Arabic']",53975,208c2ceb-a045-4731-b002-37a04a10fe64,Sales and Leasing Consultant,197
e14676f8-b648-449c-829c-f71f7207ca66,Maureen Schraepler,SUPERAGENT,533,"['English', 'Dutch']",53501,bc5c7505-22b4-4826-a41e-b762c3760d8f,Sales Consultant,533
c4ea4c16-a1b9-4310-8b0a-ffe4ad2ccffc,Abbey Priestley,SUPERAGENT,298,['English'],50925,90b8f4a2-4779-4ab4-91c2-ef901f3e2fc9,Sales Consultant,298
332306f4-b034-4a6d-b40b-20e7570258ae,Jamie Grimshaw,REGULAR,23,['English'],33617,1505ae85-d3f3-43cd-a861-e1a499943ab5,Director,23
a3b3f8a2-25b9-4589-a762-9765931bdf98,Nabijon Rahmatov,SUPERAGENT,197,"['English', 'Russian', 'Uzbek', 'Turkish']",55857,208c2ceb-a045-4731-b002-37a04a10fe64,Sales and Leasing Consultant,197
