Company ID,Company Name,Broker ORN
e03db6ed-ee42-40bc-8bec-935083379afd,INSIGHT PROPERTIES L.L.C,11927
6f248f06-4994-4321-a132-78918b31b65e,Williams International Real Estate,951444
76c0190f-6a86-409b-a094-2874109c045a,luxe homes Real Estate,996016
db89463d-56a5-4e33-bdce-af9d22f88606,Arabian Estates,26077
ffc12a80-9ce7-487a-b778-9653bfde84f1,Edwards and Towers Real Estate Brokers,193
8ad0426a-475d-46d3-8678-0edee39af485,Betterhomes - Business Bay,97
54db8526-4dd3-44ca-a8c3-cb9a3901197d,Allsopp & Allsopp - Business Bay,1815
5079bd09-910b-499e-8b1f-813b4d5d9016,Luxury Invest Group,33464
ba465b23-9291-4464-9387-304ab8e90c21,Jade & Co Real Estate,913223
2dd04497-4d56-473f-9227-190b1b17f7c4,Hamptons International,358
2b7795d7-333e-45c1-8276-8f37d2e8ff03,Candour Real Estate Broker,2490
f4241e10-c8cb-415f-bb7f-7d55b8223eda,SAND & CEM REAL ESTATE,29846
b365581c-093c-48d7-8254-1c87b5ca0b4a,Allsopp & Allsopp - Palm Jumeirah,1815
16932fc6-35ca-4fec-9229-693d49914927,fam Properties - Branch 3,1858
3795f78e-fffe-4c90-87ab-35671a46a691,Espace Real Estate,936
db53ba8a-7f31-40c2-b10f-0dddbd70f77c,White & Co Real Estate,25663
e17278da-e3be-48f4-ab0e-bd17cbc66706,Treo Homes,19898
7c054c43-249c-4777-bce4-6680e6679c21,fam Properties - Branch 2,1858
0c9ce693-1a0b-491a-bfd5-91eb3b435b1a,Christie’s International Real Estate Dubai,11814
e4d98e77-62b9-4d67-8c49-bc3225196da2,Exclusive Homes Real Estate,11664
759ea63a-26fd-4028-88e5-21a157ef96dd,Provident Real Estate,1933
7cae3019-d6d8-4df3-9e96-1e0105ab0d33,Edifice Brokerage,27926
7f5cc8b0-89f6-4838-b7f5-8d6a7771a656,Paragon Properties,1014955
b2cd996c-5332-426e-95a8-3b8c23afdb49,Arab land Real Estate Broker,727
f611f43f-62d5-4482-bc31-3747612482ed,House Hunters Real Estate,294
31b1b879-b1bf-4a7f-bc06-47e4a4a8cca3,haus & haus,12357
8f0bdc52-edce-4393-b6e9-9f13a7d7ebcf,Allsopp & Allsopp - The Springs,1815
a04899b4-0b59-48e5-9d53-b4722ecb32c8,XO Property,30063
364a7bfc-310f-40cd-9c5b-fa7e73e6d627,D&B Properties,16576
2cb7e43d-1a77-45f5-b9ce-0d2e4ed24486,Mirabella Properties,33498
4811caff-f3cb-443d-b1ee-b31f155c8382,Luxhabitat Sotheby's International Realty - Dubai,12521
92358ff9-2147-4ea1-8903-d7658646df5d,ENGEL & VÖLKERS Dubai - S5,16081
1d86d064-5372-4d67-9eb0-f76928592184,Real Choice Real Estate,1068
5fe32e3e-4127-4d25-8441-b7e576b93352,Status Property,27948
d48b15f3-737a-4621-9840-bdfece006c8a,Totally Home Real Estate,31087
da5c8dc5-1ddf-48bf-a5a3-34459c7c2afd,Betterhomes - Dubai Marina,97
c0bf3028-9d59-42b1-8761-880850712daa,LuxuryProperty.com,691988
424bf3b5-bb6f-4df1-bd84-db7831039ce9,fam Properties - Branch 4,1858
d900edc5-fe0a-45c3-b274-e6cab99a473d,AX Capital Real Estate,21635
8a765c77-98d5-4074-9070-13d4b9fdda2c,Pin Drop Properties LLC,33459
12a7037d-88ba-476d-82dc-a562906e52c1,EDBER REAL ESTATE,888751
e722cc37-a290-4116-9f4d-c71f00a98b3f,Harvey Smith Real Estate,31701
756ba1aa-2004-4ab7-be0d-55069ec31e92,fam Properties - Branch 14,1858
86a75625-047d-4ead-aaf2-b31bc9aa0525,Allsopp & Allsopp - Jumeirah Golf Estates,1815
812c5a9b-347a-47ec-b6d6-5d1091bfbf7b,Exclusive Links Dubai Marina Branch,708
c736f8d0-775b-4a1c-9bdb-15f86249bc9d,Allsopp & Allsopp - Arabian Ranches Sales,1815
b991ff76-3e07-49fb-b45e-63193f89a90b,SWAP REAL ESTATE BROKERS L.L.C,
6828accc-f058-400b-94a5-9cf51af67844,High Mark Real Estate,801
